Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Suburb,Propertycount,Postcode,zipcode,price,weekly_price,monthly_price
u,515000.0,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,530000.0,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,895000.0,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,805000.0,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,752000.0,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,440000.0,13.5,2.0,1.0,1.0,192.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,755000.0,13.5,3.0,2.0,2.0,596.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
t,700000.0,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,830000.0,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,462500.0,13.5,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,670000.0,13.5,3.0,2.0,2.0,657.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,675000.0,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,1042000.0,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,910000.0,13.5,3.0,1.0,1.0,775.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,773000.0,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,810000.0,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,715000.0,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,790000.0,13.5,3.0,1.0,3.0,614.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
t,540000.0,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
t,825000.0,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,685000.0,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,805000.0,13.5,3.0,1.0,1.0,623.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,510000.0,13.5,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,612000.0,13.5,3.0,2.0,1.0,212.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,662000.0,13.5,3.0,1.0,2.0,612.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,978000.0,13.5,4.0,3.0,2.0,532.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,720000.0,13.5,3.0,1.0,1.0,585.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,765000.0,13.5,4.0,1.0,2.0,509.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,900000.0,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,1275000.0,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1455000.0,3.3,2.0,1.0,0.0,159.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2850000.0,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1850000.0,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1436000.0,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1110000.0,3.3,1.0,1.0,0.0,147.0,,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1550000.0,3.3,2.0,1.0,1.0,167.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2300000.0,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
t,1550000.0,3.3,3.0,2.0,2.0,718.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2120000.0,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1800000.0,3.3,3.0,1.0,1.0,253.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1800000.0,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1810000.0,3.3,2.0,1.0,0.0,240.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2615000.0,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2100000.0,3.3,5.0,2.0,1.0,237.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1300000.0,3.3,3.0,1.0,0.0,129.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1370000.0,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1000000.0,3.3,2.0,1.0,0.0,288.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2575000.0,3.3,3.0,2.0,1.0,228.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1322500.0,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1562500.0,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2000000.0,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1900000.0,3.3,3.0,1.0,0.0,209.0,,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,3010000.0,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2800000.0,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
u,647000.0,3.3,2.0,1.0,1.0,0.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2100000.0,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2000000.0,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
u,442500.0,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1340000.0,3.3,2.0,1.0,0.0,136.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1801000.0,3.3,3.0,1.0,1.0,202.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1532000.0,3.3,3.0,3.0,1.0,0.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2140000.0,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1750000.0,3.3,2.0,1.0,1.0,162.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,980000.0,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2030000.0,3.3,3.0,2.0,0.0,152.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,1740000.0,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2800000.0,3.3,3.0,3.0,1.0,0.0,,,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,985000.0,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,Albert Park,3280.0,3206.0,3206.0,165.0,900.0,3209.0
h,2000000.0,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1110000.0,6.4,3.0,2.0,2.0,208.0,,2013.0,Yarra,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1492000.0,6.4,3.0,2.0,2.0,411.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1717500.0,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,2840000.0,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
u,525500.0,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
t,805000.0,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
u,465000.0,6.4,2.0,1.0,1.0,0.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,2000000.0,6.4,3.0,3.0,2.0,686.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1540000.0,6.4,3.0,1.0,2.0,592.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
u,820000.0,6.4,2.0,1.0,1.0,183.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1830000.0,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,2100000.0,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,865000.0,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
u,390000.0,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
t,650000.0,6.4,0.0,1.0,0.0,0.0,,,Yarra,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
u,512000.0,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1165000.0,6.4,3.0,1.0,2.0,979.0,,,Yarra,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1900000.0,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1485000.0,6.4,3.0,0.0,0.0,597.0,,,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,1950000.0,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,Alphington,2211.0,3078.0,3078.0,79.0,395.0,1850.0
h,520000.0,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1525000.0,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
t,720000.0,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1120000.0,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,780000.0,13.8,4.0,1.0,4.0,655.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1780000.0,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,630000.0,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,406000.0,13.8,2.0,1.0,1.0,65.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,660000.0,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,683500.0,13.8,3.0,1.0,1.0,530.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,580000.0,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1335000.0,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
t,800000.0,13.8,3.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,510000.0,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1070000.0,13.8,4.0,2.0,2.0,695.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,425000.0,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,605000.0,13.8,3.0,2.0,2.0,230.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
t,705000.0,13.8,3.0,2.0,2.0,197.0,152.0,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,391000.0,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,440000.0,13.8,2.0,1.0,1.0,0.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,845000.0,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
t,743000.0,13.8,3.0,2.0,2.0,211.0,176.0,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,730000.0,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,635000.0,13.8,3.0,1.0,4.0,625.0,,1960.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,620000.0,13.8,2.0,1.0,1.0,168.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,447000.0,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,730000.0,13.8,3.0,2.0,1.0,70.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,678000.0,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,580000.0,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,712000.0,13.8,3.0,1.0,2.0,363.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,840000.0,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,980000.0,13.8,3.0,1.0,2.0,724.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
t,605100.0,13.8,3.0,2.0,0.0,265.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,880000.0,13.8,3.0,3.0,1.0,577.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,577000.0,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1030000.0,13.8,4.0,1.0,0.0,797.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,605000.0,13.8,3.0,1.0,2.0,181.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,753000.0,13.8,3.0,2.0,2.0,529.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,857000.0,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1500000.0,13.8,3.0,1.0,1.0,929.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
u,730000.0,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,900000.0,13.8,3.0,1.0,4.0,697.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,740000.0,13.8,3.0,1.0,2.0,604.0,,,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,931000.0,13.8,4.0,2.0,3.0,532.0,,1970.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,535600.0,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,Altona,5301.0,3018.0,3018.0,80.0,732.5,1550.5
h,1085000.0,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,Altona North,5132.0,3025.0,,,,
h,781000.0,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,Altona North,5132.0,3025.0,,,,
